-3,23,55
-6,23,53
-9,29,54
-5,31,57
-2,30,59
-4,31,55
-1,32,56
-1,36,57
-3,37,52
-5,36,50
-6,35,50
-3,35,52
-3,36,53
0,35,55
1,35,55
0,35,55
1,35,55
0,35,54
2,32,52
2,36,52
1,36,52
0,37,55
5,37,56
6,38,54
13,36,55
16,36,54
12,36,53
8,37,45
10,37,44
11,36,50
10,35,47
14,36,47
16,36,46
16,35,47
19,38,48
16,40,42
24,41,44
24,41,43
21,41,41
22,42,40
27,41,40
25,42,39
26,41,38
28,42,38
32,43,38
33,43,38
32,43,36
30,44,35
33,45,35
33,47,34
34,46,33
36,46,33
33,44,33
31,44,32
32,44,34
30,44,33
30,45,33
29,46,33
27,45,32
26,46,32
27,46,34
27,45,32
28,45,32
28,45,33
29,45,35
29,45,36
28,46,35
28,46,33
26,46,29
27,45,30
27,44,30
30,45,32
27,45,30
27,45,30
30,44,32
32,44,31
34,44,31
32,43,32
33,43,32
34,42,30
35,42,30
35,42,29
38,42,29
39,42,27
39,42,27
39,42,26
40,41,27
41,42,25
41,42,27
41,42,26
41,41,27
39,41,26
37,40,23
38,39,22
40,40,22
41,39,21
44,36,22
43,34,21
38,34,18
37,35,26
43,35,29
48,37,30
39,38,31
36,36,33
41,36,33
41,40,33
42,40,37
39,42,37
34,40,35
34,37,34
32,34,36
39,34,42
44,33,43
46,31,42
44,30,42
35,29,34
39,34,38
43,35,41
42,35,38
43,34,32
48,34,32
55,29,25
56,30,22
54,31,21
52,30,20
52,33,22
52,34,22
53,34,20
51,32,17
53,29,17
52,28,12
52,30,12
50,32,10
48,33,6
53,37,5
57,36,-2
61,34,-2
57,32,-3
52,31,-3
54,34,-7
52,35,-6
56,32,-2
55,32,-2
54,31,-4
57,31,-1
57,28,2
51,28,-2
55,30,0
56,31,2
54,33,-2
51,31,-3
52,32,-2
54,32,-1
53,31,-2
54,31,-2
56,31,-5
56,31,-5
54,31,-8
53,30,-8
52,30,-7
52,31,-6
52,31,-9
54,31,-9
55,33,-7
57,33,-5
57,33,-6
60,32,-4
60,32,-3
58,34,2
54,35,3
56,33,2
57,33,1
60,31,3
58,31,3
54,32,1
52,32,0
50,32,1
51,32,2
52,32,3
52,31,5
51,30,7
52,30,8
56,32,9
55,32,9
54,31,7
54,30,4
60,29,4
53,27,8
51,30,9
58,29,8
60,30,8
56,29,10
55,29,10
56,30,9
55,30,10
54,30,9
53,31,8
55,31,8
56,31,8
55,30,8
55,30,8
56,30,7
55,29,7
55,29,8
56,29,8
56,29,8
55,28,8
55,28,8
55,28,8
55,28,8
56,28,8
56,29,7
56,29,7
56,29,7
57,29,7
57,29,8
56,29,8
56,29,8
55,28,7
55,28,8
55,28,8
57,29,8
56,29,8
56,28,8
54,29,8
55,29,8
55,29,8
57,29,10
59,29,12
57,29,12
52,28,12
51,28,13
53,29,13
54,30,11
57,30,16
55,30,15
50,28,14
51,28,16
52,28,18
58,29,21
56,28,20
51,27,18
53,27,19
54,27,19
53,27,18
53,27,17
53,27,16
54,27,18
54,27,18
55,27,19
55,27,19
56,27,19
55,27,20
55,27,19
55,27,18
54,27,19
53,27,19
54,26,18
55,25,19
55,26,19
54,26,20
52,26,19
53,26,19
55,26,19
56,26,21
56,26,23
55,25,25
53,25,25
52,25,26
49,25,26
49,25,27
49,25,26
49,25,27
49,25,27
49,25,28
49,25,31
48,25,31
47,25,31
47,25,32
48,25,32
49,25,32
49,25,32
48,25,31
48,25,32
48,25,32
49,25,32
49,25,33
48,25,33
47,25,33
47,25,32
47,25,32
47,25,32
47,25,33
47,25,33
47,25,33
47,25,33
47,25,34
49,26,34
48,25,34
46,25,35
46,24,36
45,24,36
45,23,36
45,23,36
45,23,36
45,23,35
46,23,34
45,24,35
46,25,35
47,25,34
47,25,34
48,26,35
46,26,35
47,25,35
46,25,35
46,25,35
46,26,35
46,26,35
46,26,35
45,26,35
45,26,35
45,27,35
45,26,34
44,25,33
44,25,34
43,25,33
43,25,31
39,24,26
48,25,28
51,30,35
53,29,39
53,26,29
52,25,27
52,24,28
52,24,29
50,24,28
51,25,29
50,25,28
51,25,27
50,26,29
49,26,30
50,25,29
50,25,29
49,24,27
49,24,28
48,25,28
50,25,27
52,26,28
50,25,28
51,25,25
53,24,30
52,24,30
51,23,28
52,23,29
50,23,30
50,23,31
51,23,29
52,23,29
50,23,30
50,23,30
50,23,28
50,23,29
50,23,29
50,23,28
51,23,28
51,23,28
51,23,28
52,24,28
51,24,27
50,23,27
52,23,27
52,22,28
53,21,29
54,21,30
56,21,31
51,20,33
49,20,33
48,21,32
49,21,27
50,21,27
52,20,28
55,19,31
57,18,34
52,18,36
47,20,36
43,22,32
47,22,28
49,22,26
53,22,27
57,21,30
54,20,31
48,22,32
48,23,29
48,24,29
50,23,28
50,21,28
53,19,31
55,19,34
56,19,35
53,21,36
47,22,34
46,23,32
48,22,27
53,20,28
54,19,28
52,17,29
51,19,31
52,20,31
51,22,29
51,23,28
52,23,27
53,23,28
53,22,30
52,20,31
51,19,32
51,20,31
51,20,32
50,20,31
50,21,31
49,22,29
54,22,29
53,21,30
52,19,31
52,19,31
50,19,31
52,20,30
51,21,30
50,22,30
49,23,31
50,23,30
49,23,30
50,22,29
52,21,30
54,18,32
53,17,32
49,17,32
48,20,31
48,21,30
50,23,29
53,23,29
54,23,30
52,22,30
51,21,29
51,21,29
51,20,29
52,20,30
52,19,31
50,19,31
50,19,31
51,20,31
52,21,29
52,21,29
52,21,29
54,20,29
54,19,29
54,20,29
54,21,29
53,21,29
52,21,29
52,20,28
48,17,27
45,17,27
46,17,28
52,19,30
63,17,34
60,17,34
50,20,35
50,21,30
47,20,28
51,22,26
54,22,27
54,22,28
53,20,31
54,19,31
55,16,31
55,14,30
54,14,30
50,14,28
48,16,29
50,19,29
49,20,31
53,20,32
51,18,31
50,17,31
51,16,30
56,15,31
53,16,32
51,15,29
47,21,29
52,26,28
55,26,28
57,23,31
53,18,29
52,18,29
52,16,29
50,16,28
50,18,29
51,19,29
52,19,29
53,19,30
54,19,32
53,19,32
54,20,30
53,21,28
52,21,27
52,21,28
52,20,28
52,20,28
52,20,29
52,19,28
52,19,29
51,19,29
51,19,29
52,19,29
51,18,29
52,19,29
52,18,29
52,18,30
52,18,30
53,17,29
51,17,29
50,17,28
51,19,27
53,19,29
56,18,30
56,18,31
54,19,31
54,19,31
52,18,28
53,17,28
55,17,27
57,18,24
56,18,24
55,17,24
55,17,24
55,18,26
53,17,27
53,17,27
52,17,26
57,18,27
57,17,28
55,17,29
50,15,30
48,13,29
52,13,29
54,12,30
56,12,32
55,11,35
52,12,36
51,15,36
51,16,34
52,16,35
51,15,34
52,15,34
53,15,34
52,13,34
49,12,33
48,12,33
47,14,31
50,17,31
51,17,32
54,18,34
53,17,35
55,17,34
55,15,31
50,15,32
49,13,33
51,13,33
50,13,32
51,14,33
50,18,33
52,18,31
54,18,29
55,18,30
52,19,30
54,23,36
49,23,30
54,23,30
55,26,32
52,27,29
49,26,30
46,23,28
46,21,26
55,21,31
50,21,28
49,22,29
47,22,28
46,21,26
47,20,23
54,23,25
54,24,23
55,24,29
50,25,28
54,25,26
56,26,29
53,26,27
50,26,28
55,26,28
53,27,27
49,27,26
53,28,24
57,28,28
54,26,26
52,25,24
47,24,23
51,24,25
50,26,27
48,25,26
48,25,26
48,26,26
46,26,25
47,26,25
50,26,27
49,26,27
49,26,30
47,25,29
47,28,30
49,30,27
49,31,28
53,33,25
53,29,31
54,28,29
45,29,24
52,28,28
52,29,24
51,31,26
51,30,27
57,31,28
58,33,28
58,34,27
63,40,28
62,44,26
65,45,26
60,46,23
52,43,19
49,43,23
45,46,24
42,46,25
37,45,26
26,41,24
21,39,24
18,36,23
15,38,24
17,40,27
11,45,28
7,47,27
6,48,25
6,51,27
5,52,31
6,52,30
-14,46,30
-6,49,31
-3,49,31
3,46,35
7,52,32
6,57,35
-6,54,31
-10,52,28
-5,51,29
1,50,34
7,54,39
2,60,38
-7,57,34
-3,57,34
3,57,32
-5,55,29
1,53,28
4,54,31
5,53,35
-1,54,37
8,56,29
5,56,20
1,50,27
1,50,31
1,50,27
10,54,27
10,53,26
21,48,33
27,47,30
32,51,31
32,55,32
29,58,35
29,58,36
24,59,32
20,58,33
21,58,33
16,55,31
16,50,33
12,49,32
11,49,39
9,48,38
11,49,34
14,50,32
14,50,34
12,50,34
10,50,34
11,52,34
2,48,38
-1,47,40
9,49,40
12,51,35
12,49,35
10,49,35
7,49,38
8,50,39
3,52,38
3,50,40
1,49,39
3,49,38
6,49,38
3,48,38
2,50,40
2,50,40
2,49,39
2,51,38
1,50,38
-3,48,38
2,50,40
4,51,40
1,52,39
-4,51,38
-3,50,35
1,51,39
4,52,41
4,51,40
-1,50,38
-1,50,38
-1,50,38
2,51,38
2,52,39
-1,52,35
-2,51,39
-2,50,39
1,51,38
3,56,38
4,56,39
10,50,37
8,46,35
8,46,37
18,49,39
14,50,34
14,51,37
8,50,38
8,51,38
9,52,34
12,50,36
9,49,38
5,47,35
12,45,39
8,44,31
0,42,21
14,38,29
14,38,21
37,42,32
39,43,33
35,42,29
43,40,28
49,43,22
48,40,16
50,39,16
51,38,15
53,34,17
57,33,15
58,33,15
59,32,13
62,32,14
60,30,14
60,30,14
60,31,14
58,30,12
57,30,12
57,30,12
57,30,11
57,29,10
56,29,10
56,28,12
55,28,11
55,28,11
56,28,11
57,28,11
56,27,10
57,27,10
56,27,10
57,28,10
57,28,10
57,28,11
56,28,10
54,28,10
55,28,10
55,27,11
56,28,10
56,28,10
56,28,11
56,29,11
55,30,10
54,30,11
54,31,12
53,32,13
53,32,12
52,32,12
52,33,11
50,33,12
51,34,13
53,34,14
52,34,14
51,34,14
53,34,13
53,34,13
48,33,12
49,34,12
49,34,11
49,34,10
49,37,12
50,38,13
48,40,11
49,40,10
50,39,12
50,40,10
51,42,9
49,42,8
46,42,8
43,44,8
42,44,9
41,42,9
38,43,6
39,46,9
46,48,7
47,50,7
45,51,9
43,51,10
39,46,10
37,46,9
36,48,7
39,51,2
40,50,3
39,49,3
40,47,6
41,47,7
40,47,7
41,49,5
40,49,5
40,49,4
40,49,3
41,49,1
41,49,4
39,48,5
41,49,3
39,48,4
39,48,3
40,49,3
41,46,7
