Eye.movement.type.index,initTime,endTime,lpup,rpup,fx,fy
325,139843,139932,5.228,5.296,910,771
326,139962,140172,5.261818182,5.282727273,908,749
327,140341,140411,5.485,5.1975,1041,737
328,140481,140613,5.357142857,5.035,975,477
329,140699,140971,5.373571429,5.046428571,965,593
330,141001,141152,5.3875,5.04,1000,560
331,141218,141895,5.321764706,5.190322581,745,383
332,142636,142895,5.457692308,5.155,969,653
333,142920,143015,5.524,5.125,972,641
334,143675,143893,5.648181818,5.204,858,605
335,143915,144131,5.646363636,5.063333333,888,598
336,144304,145269,5.384897959,4.748888889,872,333
337,147119,147291,5.651111111,5.542222222,1372,402
338,147442,147625,5.431,5.478,1458,200
339,147814,147905,5.548,NA,850,361
340,148135,148207,5.81,5.4525,1440,224
341,148272,148371,5.57,5.446,1365,254
342,148454,148524,5.3975,5.3825,1250,259
343,148852,148972,5.698333333,5.373333333,1521,57
344,149255,149330,5.78,5.54,1271,311
345,149354,149489,5.785714286,5.557142857,1230,324
346,149593,149748,5.52625,5.25,727,373
347,150496,150586,5.672,NA,900,340
348,150636,150706,5.655,NA,957,310
349,150836,150927,5.536,NA,866,329
350,150977,151250,5.623571429,NA,777,372
351,151496,151586,5.444,NA,771,253
352,151615,151930,5.33375,NA,765,315
353,152071,152170,5.584,5.02,959,384
354,152437,152745,5.5875,5.551333333,905,760
355,153073,153143,5.56,5.22,1049,643
356,153392,153469,5.755,5,1100,475
357,153675,153745,5.605,NA,1013,502
358,154415,154506,5.638,5.126666667,1067,589
359,154590,154726,5.477142857,5.268333333,909,599
360,154829,154985,5.64125,5,999,551
361,155013,155124,5.64,NA,1010,531
362,155174,155244,5.7125,4.8,1032,494
363,156314,156447,5.238571429,5,824,482
364,156475,156547,4.9,4.8925,834,447
365,156648,156807,4.89125,4.53,1234,555
366,156928,157006,4.835,4.55,1107,521
367,157112,157206,4.86,4.784,789,471
368,157372,157546,5.048888889,4.8425,957,458
369,157589,157764,4.998888889,4.908888889,890,515
370,157872,157944,5.2,4.52,1019,333
371,158014,158244,5.0125,4.832727273,874,364
372,158330,158425,4.944,4.884,890,605
373,159193,159325,5.664,5.391428571,1658,787
374,159829,159983,5.68625,5.45875,1068,739
375,160109,160384,5.540714286,4.986666667,907,523
376,160595,160665,5.77,5.253333333,1111,649
377,160715,160825,5.628333333,5.1725,1057,633
378,160855,160925,5.6575,5.25,1038,655
379,161105,161204,5.592,NA,1106,384
380,161246,161323,5.57,NA,1131,419
381,161408,161561,5.5075,4.46,852,338
382,161631,161840,5.445454545,5.075,722,282
383,162068,162179,5.793333333,4.795,916,404
