"jointType","x","y","z","time"
2,-0.126933977,0.0323603265,2.658699,8
3,-0.14735046,0.148006529,2.67178154,8
4,-0.28608197,-0.08592958,2.668861,8
5,-0.339929521,-0.236139163,2.670932,8
6,-0.2233997,-0.23214072,2.489557,8
7,-0.153210789,-0.226383388,2.48998713,8
8,0.0130488621,-0.07743953,2.6550703,8
9,0.09023616,-0.2446265,2.59682345,8
10,-0.0989519,-0.236394018,2.50169015,8
11,-0.199421674,-0.282311171,2.49237823,8
12,-0.213073581,-0.4812878,2.60013247,8
13,-0.291143566,-0.725497365,2.45818162,8
14,-0.362787366,-1.14423752,2.37434721,8
15,-0.370969653,-1.1587975,2.246512,8
16,-0.08346604,-0.4931121,2.58740044,8
17,-0.08544104,-0.8347484,2.59664679,8
18,-0.102253959,-1.18523824,2.44865417,8
19,-0.09619758,-1.21246493,2.341801,8
20,-0.12990129,-0.0318181328,2.65841866,8
21,-0.09182321,-0.252006233,2.47446227,8
22,-0.13358523,-0.17472744,2.504391,8
23,-0.235880852,-0.286282837,2.4778347,8
24,-0.185249075,-0.33681187,2.49308,8
0,-0.164201468,-0.491186082,2.6196475,9
1,-0.152267516,-0.224106386,2.63768744,9
2,-0.141532749,0.03730519,2.642426,9
3,-0.173961535,0.150636151,2.649025,9
4,-0.290115058,-0.0846865252,2.658075,9
5,-0.349032819,-0.235560477,2.66421,9
6,-0.270152569,-0.233320117,2.46299553,9
7,-0.206918225,-0.233102858,2.465888,9
8,-0.00184472208,-0.07090997,2.63265777,9
9,0.08627969,-0.23965992,2.59881663,9
10,0.0135692125,-0.2310662,2.42820263,9
11,-0.0119615542,-0.246209785,2.43781924,9
12,-0.226502925,-0.4817944,2.59575129,9
13,-0.2973358,-0.7156452,2.44988441,9
14,-0.3698807,-1.13523293,2.37200665,9
15,-0.357135057,-1.192689,2.29198647,9
16,-0.09798045,-0.4878856,2.57753968,9
17,-0.094821,-0.832720041,2.55389071,9
18,-0.101152986,-1.13304818,2.43959928,9
19,-0.109449565,-1.14139962,2.30931687,9
20,-0.144236729,-0.0274019036,2.64355254,9
21,-0.1677962,-0.228925362,2.4505806,9
22,-0.191336781,-0.185031325,2.49205256,9
23,-0.008201411,-0.240806773,2.38547158,9
24,-0.04722328,-0.2772243,2.46789455,9
0,-0.414716542,-0.456859261,2.35869312,10
1,-0.444574267,-0.199022368,2.363333,10
2,-0.4716527,0.0526987,2.35522652,10
3,-0.5345763,0.161022127,2.357663,10
4,-0.59758234,-0.07448102,2.38913274,10
5,-0.6212764,-0.279775232,2.35859418,10
6,-0.622479737,-0.3836598,2.23736382,10
7,-0.5955664,-0.4396004,2.20555949,10
8,-0.300379217,-0.017111402,2.35089517,10
9,-0.166395009,-0.15258427,2.35540271,10
10,-0.276841819,-0.223830149,2.18612885,10
11,-0.309444249,-0.234769538,2.18469715,10
12,-0.47146374,-0.462078035,2.34476614,10
13,-0.503726363,-0.7934553,2.25583434,10
14,-0.506654,-1.11732376,2.14608431,10
15,-0.5018609,-1.14544415,2.04090071,10
16,-0.346747845,-0.43916285,2.30786276,10
17,-0.285957545,-0.686596,2.25283527,10
18,-0.2006667,-1.09995031,2.32790971,10
19,-0.231561139,-1.172245,2.22835255,10
20,-0.46538654,-0.009478575,2.359462,10
21,-0.571279168,-0.491276026,2.177342,10
22,-0.5788511,-0.451190323,2.15850019,10
23,-0.360022753,-0.29885006,2.18192887,10
24,-0.292679548,-0.270002156,2.16794443,10
0,-0.442093074,-0.488287359,2.36084557,11
1,-0.465557069,-0.252728,2.31633234,11
2,-0.485230535,-0.0228282921,2.25911784,11
3,-0.5238301,0.0807043,2.229757,11
4,-0.6301052,-0.130907491,2.315372,11
5,-0.655158937,-0.300949425,2.32689571,11
6,-0.5830928,-0.472534478,2.241148,11
7,-0.558265,-0.517513752,2.2372427,11
8,-0.320050031,-0.03746426,2.27859282,11
9,-0.197884634,-0.162974566,2.31318927,11
10,-0.2832458,-0.2828145,2.1583097,11
